reviewid,artist,url,p_score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year,genre,album,year,m_critic_score,m_user_score,comment
21097,joanna newsom,http://pitchfork.com/reviews/albums/21097-divers/,8.5,1,laura snapes,contributor,2015-10-19,0,19,10,2015,folk/country,divers,"Oct 23, 2015",88.0,8.2,
21197,beach house,http://pitchfork.com/reviews/albums/21197-thank-your-lucky-stars/,8.1,0,jayson greene,senior editor,2015-10-16,4,16,10,2015,rock,thank your lucky stars,"Oct 16, 2015",80.0,8.6,
21172,raury,http://pitchfork.com/reviews/albums/21172-all-we-need/,6.8,0,sheldon pearce,associate staff writer,2015-10-16,4,16,10,2015,rap,all we need,"Oct 16, 2015",65.0,7.7,
21198,sexwitch,http://pitchfork.com/reviews/albums/21198-sexwitch/,6.4,0,evan minsker,deputy news editor,2015-10-15,3,15,10,2015,rock,sexwitch,"Sep 25, 2015",79.0,7.3,
21041,neon indian,http://pitchfork.com/reviews/albums/21041-vega-intl-night-school/,8.6,1,ian cohen,contributor,2015-10-14,2,14,10,2015,electronic,vega intl. night school,"Oct 16, 2015",79.0,8.6,
21194,majical cloudz,http://pitchfork.com/reviews/albums/21194-are-you-alone/,8.0,0,mike powell,contributor,2015-10-13,1,13,10,2015,rock,are you alone?,"Oct 16, 2015",80.0,7.4,
21039,deerhunter,http://pitchfork.com/reviews/albums/21039-fading-frontier/,8.4,1,ian cohen,contributor,2015-10-12,0,12,10,2015,rock,fading frontier,"Oct 16, 2015",81.0,8.4,
21186,kylesa,http://pitchfork.com/reviews/albums/21186-exhausting-fire/,7.4,0,brandon stosuy,contributor,2015-10-12,0,12,10,2015,metal,exhausting fire,"Oct 2, 2015",78.0,8.3,
20979,clutch,http://pitchfork.com/reviews/albums/20979-psychic-warfare/,6.9,0,zoe camp,contributor,2015-10-12,0,12,10,2015,rock,psychic warfare,"Oct 2, 2015",76.0,8.0,
21086,mogwai,http://pitchfork.com/reviews/albums/21086-central-belters/,8.0,0,stuart berman,contributor,2015-10-09,4,9,10,2015,rock,central belters,"Oct 23, 2015",85.0,8.7,
21085,dilly dally,http://pitchfork.com/reviews/albums/21085-sore/,8.0,0,laura snapes,contributor,2015-10-09,4,9,10,2015,electronic,sore,"Oct 9, 2015",81.0,8.4,
21185,mild high club,http://pitchfork.com/reviews/albums/21185-timeline/,6.3,0,jonah bromwich,contributor,2015-10-09,4,9,10,2015,rock,timeline,"Sep 18, 2015",71.0,7.8,
21038,mac miller,http://pitchfork.com/reviews/albums/21038-mac-miller-good-am/,7.3,0,tayler montague,contributor,2015-10-08,3,8,10,2015,rap,go:od am,"Sep 18, 2015",71.0,8.2,
20966,protomartyr,http://pitchfork.com/reviews/albums/20966-the-agent-intellect/,8.2,0,j. edward keyes,contributor,2015-10-07,2,7,10,2015,rock,the agent intellect,"Oct 9, 2015",85.0,8.2,
21060,janet jackson,http://pitchfork.com/reviews/albums/21060-unbreakable/,8.0,0,anupa mistry,contributor,2015-10-06,1,6,10,2015,pop/r&b,unbreakable,"Oct 2, 2015",75.0,8.3,
21115,eagles of death metal,http://pitchfork.com/reviews/albums/21115-zipper-down/,7.3,0,zoe camp,contributor,2015-10-06,1,6,10,2015,rock,zipper down,"Oct 2, 2015",73.0,7.2,
21042,wavves,http://pitchfork.com/reviews/albums/21042-v/,6.5,0,jeremy gordon,contributor,2015-10-05,0,5,10,2015,rock,v,"Oct 2, 2015",77.0,7.4,
21044,autre ne veut,http://pitchfork.com/reviews/albums/21044-age-of-transparency/,6.0,0,puja patel,contributor,2015-10-05,0,5,10,2015,electronic,age of transparency,"Oct 2, 2015",79.0,8.7,
21029,girl band,http://pitchfork.com/reviews/albums/21029-holding-hands-with-jamie/,7.8,0,laura snapes,contributor,2015-10-05,0,5,10,2015,rock,holding hands with jamie,"Sep 25, 2015",78.0,8.5,
21145,run the jewels,http://pitchfork.com/reviews/albums/21145-meow-the-jewels/,7.0,0,ryan dombal,senior editor,2015-10-02,4,2,10,2015,rap,meow the jewels,"Sep 25, 2015",74.0,8.0,
21140,battles,http://pitchfork.com/reviews/albums/21140-la-di-da-di/,7.5,0,brandon stosuy,contributor,2015-10-02,4,2,10,2015,rock,la di da di,"Sep 18, 2015",73.0,7.4,
21022,deafheaven,http://pitchfork.com/reviews/albums/21022-new-bermuda/,9.0,1,jayson greene,senior editor,2015-10-01,3,1,10,2015,metal,new bermuda,"Oct 2, 2015",85.0,8.7,
21094,jay rock,http://pitchfork.com/reviews/albums/21094-90059/,8.0,0,craig jenkins,contributor,2015-10-01,3,1,10,2015,rap,90059,"Sep 11, 2015",79.0,7.6,
20975,mercury rev,http://pitchfork.com/reviews/albums/20975-the-light-in-you/,7.0,0,stuart berman,contributor,2015-10-01,3,1,10,2015,rock,the light in you,"Oct 2, 2015",75.0,8.0,
21043,fetty wap,http://pitchfork.com/reviews/albums/21043-fetty-wap/,7.6,0,meaghan garvey,contributor,2015-09-30,2,30,9,2015,rap,fetty wap,"Sep 25, 2015",68.0,4.3,
21035,the dead weather,http://pitchfork.com/reviews/albums/21035-dodge-and-burn/,7.3,0,stuart berman,contributor,2015-09-29,1,29,9,2015,rock,dodge and burn,"Sep 25, 2015",75.0,8.1,
20950,peaches,http://pitchfork.com/reviews/albums/20950-rub/,7.0,0,cameron cook,contributor,2015-09-29,1,29,9,2015,electronic,rub,"Sep 25, 2015",78.0,7.5,
21104,chvrches,http://pitchfork.com/reviews/albums/21104-every-open-eye/,7.7,0,ian cohen,contributor,2015-09-28,0,28,9,2015,pop/r&b,every open eye,"Sep 25, 2015",77.0,8.0,
21034,disclosure,http://pitchfork.com/reviews/albums/21034-caracal/,6.6,0,meaghan garvey,contributor,2015-09-25,4,25,9,2015,electronic,caracal,"Sep 25, 2015",73.0,7.7,
21101,ryan adams,http://pitchfork.com/reviews/albums/21101-1989/,4.0,0,mark richardson,executive editor,2015-09-25,4,25,9,2015,rock,1989,"Sep 21, 2015",69.0,6.5,
20998,the underachievers,http://pitchfork.com/reviews/albums/20998-evermore-the-art-of-duality/,7.5,0,mosi reeves,contributor,2015-09-25,4,25,9,2015,rap,evermore: the art of duality,"Sep 25, 2015",73.0,8.2,
21036,new order,http://pitchfork.com/reviews/albums/21036-music-complete/,7.2,0,t. cole rachel,contributor,2015-09-22,1,22,9,2015,rock,music complete,"Sep 25, 2015",76.0,8.4,
20949,dungen,http://pitchfork.com/reviews/albums/20949-allas-sak/,8.0,0,aaron leitko,contributor,2015-09-22,1,22,9,2015,rock,allas sak,"Sep 25, 2015",81.0,7.2,
21033,lana del rey,http://pitchfork.com/reviews/albums/21033-honeymoon/,7.5,0,jessica hopper,contributor,2015-09-21,0,21,9,2015,pop/r&b,honeymoon,"Sep 18, 2015",78.0,8.4,
21064,the arcs,http://pitchfork.com/reviews/albums/21064-yours-dreamily/,6.8,0,max mertens,contributor,2015-09-21,0,21,9,2015,rock,"yours, dreamily","Sep 4, 2015",76.0,8.2,
20825,julia holter,http://pitchfork.com/reviews/albums/20825-have-you-in-my-wilderness/,8.4,1,winston cook-wilson,contributor,2015-09-18,4,18,9,2015,electronic,have you in my wilderness,"Sep 25, 2015",87.0,8.6,
21047,youth lagoon,http://pitchfork.com/reviews/albums/21047-savage-hills-ballroom/,7.2,0,ian cohen,contributor,2015-09-17,3,17,9,2015,rock,savage hills ballroom,"Sep 25, 2015",74.0,7.2,
20890,blackalicious,http://pitchfork.com/reviews/albums/20890-imani-vol-1/,7.2,0,sheldon pearce,associate staff writer,2015-09-17,3,17,9,2015,rap,"imani, vol. 1","Sep 18, 2015",76.0,8.1,
21016,travis scott,http://pitchfork.com/reviews/albums/21016-rodeo/,6.0,0,sheldon pearce,associate staff writer,2015-09-16,2,16,9,2015,rap,rodeo,"Sep 4, 2015",64.0,8.4,
20913,ought,http://pitchfork.com/reviews/albums/20913-sun-coming-down/,8.0,0,stuart berman,contributor,2015-09-15,1,15,9,2015,rock,sun coming down,"Sep 18, 2015",80.0,8.3,
20982,low,http://pitchfork.com/reviews/albums/20982-ones-and-sixes/,7.8,0,corbin reiff,contributor,2015-09-14,0,14,9,2015,rock,ones and sixes,"Sep 11, 2015",78.0,8.3,
20829,pwr bttm,http://pitchfork.com/reviews/albums/20829-ugly-cherries/,7.5,0,t. cole rachel,contributor,2015-09-11,4,11,9,2015,rock,ugly cherries,"Sep 25, 2015",79.0,8.1,
21063,fidlar,http://pitchfork.com/reviews/albums/21063-fidlar-too/,5.8,0,zach kelly,contributor,2015-09-11,4,11,9,2015,rock,too,"Sep 4, 2015",76.0,8.4,
21001,slayer,http://pitchfork.com/reviews/albums/21001-repentless/,6.8,0,andy o'connor,contributor,2015-09-10,3,10,9,2015,metal,repentless,"Sep 11, 2015",70.0,7.4,
20976,empress of,http://pitchfork.com/reviews/albums/20976-me/,8.2,1,stuart berman,contributor,2015-09-08,1,8,9,2015,pop/r&b,me,"Sep 11, 2015",82.0,8.3,
20881,the libertines,http://pitchfork.com/reviews/albums/20881-anthems-for-doomed-youth/,7.7,0,laura snapes,contributor,2015-09-07,0,7,9,2015,rock,anthems for doomed youth,"Sep 11, 2015",70.0,8.3,
20706,destroyer,http://pitchfork.com/reviews/albums/20706-poison-season/,7.6,0,jayson greene,senior editor,2015-09-03,3,3,9,2015,rock,poison season,"Aug 28, 2015",86.0,8.0,
20999,the weeknd,http://pitchfork.com/reviews/albums/20999-beauty-behind-the-madness/,7.2,0,andrew ryce,contributor,2015-09-02,2,2,9,2015,pop/r&b,beauty behind the madness,"Aug 28, 2015",74.0,8.2,
20971,foals,http://pitchfork.com/reviews/albums/20971-what-went-down/,6.7,0,ian cohen,contributor,2015-09-02,2,2,9,2015,rock,what went down,"Aug 28, 2015",77.0,8.3,
20970,yo la tengo,http://pitchfork.com/reviews/albums/20970-stuff-like-that-there/,7.1,0,stuart berman,contributor,2015-08-31,0,31,8,2015,rock,stuff like that there,"Aug 28, 2015",73.0,6.5,
20833,myrkur,http://pitchfork.com/reviews/albums/20833-m/,7.9,0,grayson haver currin,contributor,2015-08-31,0,31,8,2015,metal,m,"Aug 21, 2015",83.0,8.4,
20939,deradoorian,http://pitchfork.com/reviews/albums/20939-the-expanding-flower-planet/,8.0,0,philip sherburne,contributing editor,2015-08-20,3,20,8,2015,rock,the expanding flower planet,"Aug 21, 2015",78.0,8.6,
20691,beach house,http://pitchfork.com/reviews/albums/20691-depression-cherry/,8.4,1,jayson greene,senior editor,2015-08-18,1,18,8,2015,rock,depression cherry,"Aug 28, 2015",76.0,8.6,
20746,royal headache,http://pitchfork.com/reviews/albums/20746-high/,8.0,0,evan minsker,deputy news editor,2015-08-18,1,18,8,2015,rock,high,"Aug 21, 2015",83.0,7.7,
20869,palehound,http://pitchfork.com/reviews/albums/20869-dry-food/,8.0,0,laura snapes,contributor,2015-08-17,0,17,8,2015,rock,dry food,"Aug 14, 2015",78.0,8.6,
20908,lindi ortega,http://pitchfork.com/reviews/albums/20908-faded-gloryville/,7.0,0,stephen m. deusner,contributor,2015-08-11,1,11,8,2015,folk/country,faded gloryville,"Aug 7, 2015",81.0,6.8,
20866,chelsea wolfe,http://pitchfork.com/reviews/albums/20866-abyss/,8.1,0,brandon stosuy,contributor,2015-08-07,4,7,8,2015,rock,abyss,"Aug 7, 2015",79.0,8.6,
20867,night beds,http://pitchfork.com/reviews/albums/20867-night-beds-ivywild/,3.2,0,ian cohen,contributor,2015-08-06,3,6,8,2015,rock,ivywild,"Aug 7, 2015",66.0,7.4,
20862,mac demarco,http://pitchfork.com/reviews/albums/20862-another-one/,7.3,0,jeremy gordon,contributor,2015-08-04,1,4,8,2015,rock,another one,"Aug 7, 2015",75.0,8.3,
20861,health,http://pitchfork.com/reviews/albums/20861-death-magic/,7.8,0,t. cole rachel,contributor,2015-08-03,0,3,8,2015,rock,death magic,"Aug 7, 2015",73.0,8.1,
20843,migos,http://pitchfork.com/reviews/albums/20843-yung-rich-nation/,7.0,0,craig jenkins,contributor,2015-07-31,4,31,7,2015,rap,yung rich nation,"Jul 31, 2015",67.0,6.2,
20835,teenage time killers,http://pitchfork.com/reviews/albums/20835-greatest-hits-vol-1/,4.0,0,zoe camp,contributor,2015-07-30,3,30,7,2015,rock,"greatest hits, vol. 1","Jul 31, 2015",72.0,7.0,
20807,gunplay,http://pitchfork.com/reviews/albums/20807-living-legend/,6.5,0,david drake,contributor,2015-07-30,3,30,7,2015,rap,living legend,"Jul 31, 2015",68.0,6.2,
20847,albert hammond jr.,http://pitchfork.com/reviews/albums/20847-momentary-masters/,7.3,0,stuart berman,contributor,2015-07-29,2,29,7,2015,rock,momentary masters,"Jul 31, 2015",69.0,8.2,
20797,julio bashmore,http://pitchfork.com/reviews/albums/20797-knockin-boots/,8.0,0,miles raymer,contributor,2015-07-28,1,28,7,2015,electronic,knockin' boots,"Jul 10, 2015",79.0,8.5,
20855,lianne la havas,http://pitchfork.com/reviews/albums/20855-lianne-la-havas-blood/,7.7,0,hannah giorgis,contributor,2015-07-28,1,28,7,2015,pop/r&b,blood,"Jul 31, 2015",72.0,8.4,
20702,titus andronicus,http://pitchfork.com/reviews/albums/20702-the-most-lamentable-tragedy/,8.1,0,jeremy gordon,contributor,2015-07-27,0,27,7,2015,rock,the most lamentable tragedy,"Jul 28, 2015",79.0,7.8,
20846,public enemy,http://pitchfork.com/reviews/albums/20846-man-plans-god-laughs/,6.2,0,sheldon pearce,associate staff writer,2015-07-27,0,27,7,2015,rap,man plans god laughs,"Jul 24, 2015",70.0,5.5,
20714,lamb of god,http://pitchfork.com/reviews/albums/20714-vii-sturm-und-drang/,7.8,0,grayson haver currin,contributor,2015-07-27,0,27,7,2015,metal,vii: sturm und drang,"Jul 24, 2015",73.0,8.4,
20824,ms mr,http://pitchfork.com/reviews/albums/20824-how-does-it-feel/,6.0,0,jayson greene,senior editor,2015-07-24,4,24,7,2015,electronic,how does it feel,"Jul 17, 2015",62.0,7.0,
20765,gwenno,http://pitchfork.com/reviews/albums/20765-y-dydd-olaf/,8.0,0,laura snapes,contributor,2015-07-24,4,24,7,2015,pop/r&b,y dydd olaf,"Jul 31, 2015",83.0,8.3,
20838,wilco,http://pitchfork.com/reviews/albums/20838-star-wars/,7.7,0,ian cohen,contributor,2015-07-23,3,23,7,2015,rock,star wars,"Jul 16, 2015",83.0,8.4,
20822,j fernandez,http://pitchfork.com/reviews/albums/20822-many-levels-of-laughter/,6.5,0,jazz monroe,associate staff writer,2015-07-23,3,23,7,2015,rock,many levels of laughter,"Jun 9, 2015",77.0,6.5,
20813,ashley monroe,http://pitchfork.com/reviews/albums/20813-the-blade/,7.5,0,stephen m. deusner,contributor,2015-07-21,1,21,7,2015,rock,the blade,"Jul 24, 2015",86.0,8.1,
20794,white reaper,http://pitchfork.com/reviews/albums/20794-white-reaper-does-it-again/,6.8,0,jason heller,contributor,2015-07-21,1,21,7,2015,rock,white reaper does it again,"Jul 17, 2015",77.0,8.1,
20818,ducktails,http://pitchfork.com/reviews/albums/20818-st-catherine/,6.7,0,zach kelly,contributor,2015-07-20,0,20,7,2015,rock,st. catherine,"Jul 24, 2015",73.0,7.5,
20749,ratatat,http://pitchfork.com/reviews/albums/20749-magnifique/,5.0,0,matthew ramirez,contributor,2015-07-16,3,16,7,2015,electronic,magnifique,"Jul 17, 2015",70.0,7.8,
20721,the chemical brothers,http://pitchfork.com/reviews/albums/20721-born-in-the-echoes/,7.8,0,ryan dombal,senior editor,2015-07-15,2,15,7,2015,electronic,born in the echoes,"Jul 17, 2015",72.0,6.6,
20648,jason isbell,http://pitchfork.com/reviews/albums/20648-something-more-than-free/,5.8,0,stephen m. deusner,contributor,2015-07-14,1,14,7,2015,rock,something more than free,"Jul 17, 2015",87.0,8.1,
20578,tame impala,http://pitchfork.com/reviews/albums/20578-currents/,9.3,1,ian cohen,contributor,2015-07-13,0,13,7,2015,rock,currents,"Jul 17, 2015",84.0,8.7,
20786,veruca salt,http://pitchfork.com/reviews/albums/20786-ghost-notes/,7.0,0,estelle tang,contributor,2015-07-13,0,13,7,2015,rock,ghost notes,"Jul 10, 2015",78.0,8.0,
20770,sleaford mods,http://pitchfork.com/reviews/albums/20770-key-markets/,7.5,0,douglas wolk,contributor,2015-07-10,4,10,7,2015,rock,key markets,"Jul 24, 2015",81.0,7.9,
20783,the internet,http://pitchfork.com/reviews/albums/20783-ego-death/,7.4,0,craig jenkins,contributor,2015-07-09,3,9,7,2015,pop/r&b,ego death,"Jun 29, 2015",81.0,8.5,
20762,statik selektah,http://pitchfork.com/reviews/albums/20762-lucky-7/,5.0,0,jay balfour,contributor,2015-07-08,2,8,7,2015,rap,lucky 7,"Jul 10, 2015",69.0,8.0,
20773,ezra furman,http://pitchfork.com/reviews/albums/20773-perpetual-motion-people/,6.9,0,sasha geffen,contributor,2015-07-07,1,7,7,2015,rock,perpetual motion people,"Jul 10, 2015",80.0,8.4,
20729,four tet,http://pitchfork.com/reviews/albums/20729-morningevening/,7.7,0,andy beta,contributor,2015-07-06,0,6,7,2015,electronic,morning/evening,"Jul 10, 2015",77.0,6.6,
20778,meek mill,http://pitchfork.com/reviews/albums/20778-dreams-worth-more-than-money/,7.4,0,matthew ramirez,contributor,2015-07-06,0,6,7,2015,rap,dreams worth more than money,"Jun 29, 2015",74.0,7.1,
20710,active child,http://pitchfork.com/reviews/albums/20710-mercy/,6.4,0,b. david zarley,contributor,2015-07-06,0,6,7,2015,rock,mercy,"Jun 16, 2015",74.0,6.9,
20728,miguel,http://pitchfork.com/reviews/albums/20728-wildheart/,8.9,1,anupa mistry,contributor,2015-07-01,2,1,7,2015,pop/r&b,wildheart,"Jun 29, 2015",84.0,8.4,
20692,failure,http://pitchfork.com/reviews/albums/20692-the-heart-is-a-monster/,7.8,0,saby reyes-kulkarni,contributor,2015-07-01,2,1,7,2015,rock,the heart is a monster,"Jun 30, 2015",78.0,8.2,
20643,neil young,http://pitchfork.com/reviews/albums/20643-the-monsanto-years/,5.2,0,stuart berman,contributor,2015-06-30,1,30,6,2015,rock,the monsanto years,"Jun 29, 2015",61.0,5.8,
20709,the orb,http://pitchfork.com/reviews/albums/20709-moonbuilding-2703-ad/,6.7,0,andy beta,contributor,2015-06-30,1,30,6,2015,electronic,moonbuilding 2703 ad,"Jun 23, 2015",77.0,8.3,
20680,wolf alice,http://pitchfork.com/reviews/albums/20680-my-love-is-cool/,7.4,0,laura snapes,contributor,2015-06-30,1,30,6,2015,rock,my love is cool,"Jun 23, 2015",78.0,8.8,
20719,vince staples,http://pitchfork.com/reviews/albums/20719-summertime-06/,8.8,1,jayson greene,senior editor,2015-06-29,0,29,6,2015,rap,summertime '06,"Jun 30, 2015",87.0,8.6,
20647,bilal,http://pitchfork.com/reviews/albums/20647-in-another-life/,7.2,0,marcus j. moore,contributor,2015-06-29,0,29,6,2015,rock,in another life,"Jun 30, 2015",78.0,8.1,
20726,refused,http://pitchfork.com/reviews/albums/20726-freedom/,5.4,0,zoe camp,contributor,2015-06-25,3,25,6,2015,rock,freedom,"Jun 30, 2015",69.0,6.6,
20484,bully,http://pitchfork.com/reviews/albums/20484-bully-feels-like/,7.8,0,laura snapes,contributor,2015-06-25,3,25,6,2015,rock,feels like,"Jun 23, 2015",77.0,8.3,
20725,leon bridges,http://pitchfork.com/reviews/albums/20725-coming-home/,7.0,0,ernest wilkins,contributor,2015-06-24,2,24,6,2015,pop/r&b,coming home,"Jun 23, 2015",78.0,7.9,
20679,kacey musgraves,http://pitchfork.com/reviews/albums/20679-pageant-material/,8.0,0,jessica hopper,contributor,2015-06-24,2,24,6,2015,folk/country,pageant material,"Jun 23, 2015",79.0,8.5,
20688,mewithoutyou,http://pitchfork.com/reviews/albums/20688-pale-horses/,7.2,0,brad nelson,contributor,2015-06-24,2,24,6,2015,rock,pale horses,"Jun 16, 2015",80.0,8.4,
20687,son lux,http://pitchfork.com/reviews/albums/20687-bones/,7.2,0,joel oliphint,contributor,2015-06-23,1,23,6,2015,rap,bones,"Jun 23, 2015",66.0,7.2,
20717,nate ruess,http://pitchfork.com/reviews/albums/20717-grand-romantic/,5.5,0,jeremy gordon,contributor,2015-06-23,1,23,6,2015,pop/r&b,grand romantic,"Jun 16, 2015",61.0,5.2,
20720,desaparecidos,http://pitchfork.com/reviews/albums/20720-payola/,7.6,0,ian cohen,contributor,2015-06-22,0,22,6,2015,rock,payola,"Jun 23, 2015",76.0,7.7,
20651,high on fire,http://pitchfork.com/reviews/albums/20651-luminiferous/,8.0,0,grayson haver currin,contributor,2015-06-16,1,16,6,2015,metal,luminiferous,"Jun 16, 2015",82.0,7.4,
20673,no joy,http://pitchfork.com/reviews/albums/20673-more-faithful/,7.6,0,maud deitch,contributor,2015-06-16,1,16,6,2015,rock,more faithful,"Jun 9, 2015",81.0,7.5,
20675,hudson mohawke,http://pitchfork.com/reviews/albums/20675-lantern/,7.4,0,craig jenkins,contributor,2015-06-15,0,15,6,2015,electronic,lantern,"Jun 16, 2015",70.0,7.2,
20665,ffs,http://pitchfork.com/reviews/albums/20665-ffs/,7.1,0,douglas wolk,contributor,2015-06-12,4,12,6,2015,rock,ffs,"Jun 9, 2015",78.0,8.0,
20670,boosie badazz,http://pitchfork.com/reviews/albums/20670-touch-down-2-cause-hell/,7.4,0,ernest wilkins,contributor,2015-06-12,4,12,6,2015,rap,touch down 2 cause hell,"May 26, 2015",74.0,6.8,
20641,ryn weaver,http://pitchfork.com/reviews/albums/20641-the-fool/,4.9,0,miles raymer,contributor,2015-06-12,4,12,6,2015,pop/r&b,the fool,"Jun 16, 2015",65.0,6.7,
20577,pins,http://pitchfork.com/reviews/albums/20577-wild-nights/,4.0,0,laura snapes,contributor,2015-06-11,3,11,6,2015,rock,wild nights,"Jun 9, 2015",70.0,8.1,
20693,sun kil moon,http://pitchfork.com/reviews/albums/20693-universal-themes/,6.0,0,mark richardson,executive editor,2015-06-10,2,10,6,2015,folk/country,universal themes,"Jun 2, 2015",79.0,7.6,
20669,jason derulo,http://pitchfork.com/reviews/albums/20669-everything-is-4/,6.6,0,meaghan garvey,contributor,2015-06-10,2,10,6,2015,pop/r&b,everything is 4,"Jun 2, 2015",67.0,4.2,
20638,jenny hval,http://pitchfork.com/reviews/albums/20638-apocalypse-girl/,7.9,0,miles raymer,contributor,2015-06-09,1,9,6,2015,experimental,"apocalypse, girl","Jun 9, 2015",79.0,8.3,
20520,muse,http://pitchfork.com/reviews/albums/20520-drones/,4.5,0,ian cohen,contributor,2015-06-09,1,9,6,2015,rock,drones,"Jun 9, 2015",63.0,7.2,
20639,the fall,http://pitchfork.com/reviews/albums/20639-sub-lingual-tablet/,6.0,0,stuart berman,contributor,2015-06-08,0,8,6,2015,rock,sub-lingual tablet,"Jun 9, 2015",68.0,8.6,
20600,prinzhorn dance school,http://pitchfork.com/reviews/albums/20600-home-economics/,6.7,0,miles raymer,contributor,2015-06-08,0,8,6,2015,electronic,home economics,"Jun 9, 2015",75.0,8.0,
20465,girlpool,http://pitchfork.com/reviews/albums/20465-before-the-world-was-big/,7.8,0,jayson greene,senior editor,2015-06-05,4,5,6,2015,rock,before the world was big,"Jun 2, 2015",79.0,7.9,
20598,goatsnake,http://pitchfork.com/reviews/albums/20598-black-age-blues/,7.3,0,grayson haver currin,contributor,2015-06-05,4,5,6,2015,metal,black age blues,"Jun 2, 2015",80.0,6.0,
20597,daughn gibson,http://pitchfork.com/reviews/albums/20597-carnation/,4.3,0,grayson haver currin,contributor,2015-06-02,1,2,6,2015,folk/country,carnation,"Jun 2, 2015",68.0,4.3,
20564,lil durk,http://pitchfork.com/reviews/albums/20564-remember-my-name/,5.6,0,ernest wilkins,contributor,2015-06-02,1,2,6,2015,rap,remember my name,"Jun 2, 2015",61.0,7.7,
20458,jamie xx,http://pitchfork.com/reviews/albums/20458-in-colour/,9.3,1,mark richardson,executive editor,2015-06-01,0,1,6,2015,electronic,in colour,"Jun 2, 2015",87.0,8.6,
20412,algiers,http://pitchfork.com/reviews/albums/20412-algiers-algiers/,7.7,0,stuart berman,contributor,2015-06-01,0,1,6,2015,rock,algiers,"Jun 2, 2015",79.0,7.7,
20551,soak,http://pitchfork.com/reviews/albums/20551-before-we-forgot-how-to-dream/,6.3,0,sasha geffen,contributor,2015-06-01,0,1,6,2015,rock,before we forgot how to dream,"Jun 2, 2015",75.0,8.3,
20613,the vaccines,http://pitchfork.com/reviews/albums/20613-english-graffiti/,6.3,0,laura snapes,contributor,2015-05-29,4,29,5,2015,rock,english graffiti,"May 26, 2015",73.0,7.9,
20622,murs,http://pitchfork.com/reviews/albums/20622-have-a-nice-life/,6.3,0,marcus j. moore,contributor,2015-05-27,2,27,5,2015,rap,have a nice life,"May 19, 2015",75.0,7.7,
20590,unknown mortal orchestra,http://pitchfork.com/reviews/albums/20590-unknown-mortal-orchestra-multi-love/,7.1,0,jeremy d. larson,contributor,2015-05-26,1,26,5,2015,rock,multi-love,"May 26, 2015",78.0,8.5,
20571,tanlines,http://pitchfork.com/reviews/albums/20571-highlights/,5.8,0,ian cohen,contributor,2015-05-22,4,22,5,2015,electronic,highlights,"May 19, 2015",63.0,5.2,
20457,holly herndon,http://pitchfork.com/reviews/albums/20457-holly-herndon-platform/,8.7,1,winston cook-wilson,contributor,2015-05-21,3,21,5,2015,experimental,platform,"May 19, 2015",81.0,7.9,
20441,thee oh sees,http://pitchfork.com/reviews/albums/20441-mutilator-defeated-at-last/,7.8,0,aaron leitko,contributor,2015-05-21,3,21,5,2015,rock,mutilator defeated at last,"May 26, 2015",82.0,8.5,
20442,du blonde,http://pitchfork.com/reviews/albums/20442-welcome-back-to-milk/,7.4,0,jazz monroe,associate staff writer,2015-05-21,3,21,5,2015,rock,welcome back to milk,"May 19, 2015",73.0,7.8,
20626,zedd,http://pitchfork.com/reviews/albums/20626-true-colors/,4.2,0,corban goble,contributor,2015-05-21,3,21,5,2015,electronic,true colors,"May 19, 2015",60.0,5.9,
20506,hot chip,http://pitchfork.com/reviews/albums/20506-why-make-sense/,7.3,0,ryan dombal,senior editor,2015-05-20,2,20,5,2015,electronic,why make sense?,"May 19, 2015",81.0,7.9,
20609,brandon flowers,http://pitchfork.com/reviews/albums/20609-the-desired-effect/,5.6,0,jeremy d. larson,contributor,2015-05-20,2,20,5,2015,rock,the desired effect,"May 19, 2015",75.0,8.5,
20533,joanna gruesome,http://pitchfork.com/reviews/albums/20533-peanut-butter/,7.2,0,sasha geffen,contributor,2015-05-19,1,19,5,2015,rock,peanut butter,"May 19, 2015",74.0,7.9,
20585,shamir,http://pitchfork.com/reviews/albums/20585-ratchet/,8.3,1,anupa mistry,contributor,2015-05-18,0,18,5,2015,pop/r&b,ratchet,"May 19, 2015",80.0,8.0,
20488,jim orourke,http://pitchfork.com/reviews/albums/20488-simple-songs/,8.6,1,mark richardson,executive editor,2015-05-15,4,15,5,2015,experimental,simple songs,"May 19, 2015",86.0,8.3,
20463,prurient,http://pitchfork.com/reviews/albums/20463-prurient-frozen-niagara-falls/,8.5,1,andy o'connor,contributor,2015-05-14,3,14,5,2015,experimental,frozen niagara falls,"May 12, 2015",82.0,7.5,
20459,blanck mass,http://pitchfork.com/reviews/albums/20459-dumb-flesh/,7.6,0,nathan reese,contributor,2015-05-13,2,13,5,2015,electronic,dumb flesh,"May 12, 2015",77.0,7.8,
20423,palma violets,http://pitchfork.com/reviews/albums/20423-danger-in-the-club/,4.5,0,laura snapes,contributor,2015-05-13,2,13,5,2015,rock,danger in the club,"May 4, 2015",64.0,6.7,
20485,elvis depressedly,http://pitchfork.com/reviews/albums/20485-new-alhambra/,7.3,0,colin joyce,contributor,2015-05-12,1,12,5,2015,rock,new alhambra,"May 12, 2015",75.0,8.4,
